Date : 2024-02-14 14:47:53
Directory : /Users/stmoerman/Developer/Business/Bakklog/cal.com
Total : 4223 files,  291311 codes, 14860 comments, 32376 blanks, all 338547 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/paypal/lib/currencyOptions.ts                                                                       | TypeScript            |         58 |          0 |          4 |         62 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/paypal/lib/index.ts                                                                                 | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/paypal/lib/updateAppCredentials.validator.ts                                                        | TypeScript            |         34 |          4 |         10 |         48 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/paypal/package.json                                                                                 | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/paypal/pages/setup/_getStaticProps.tsx                                                              | TypeScript JSX        |         18 |          0 |          4 |         22 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/paypal/pages/setup/index.tsx                                                                        | TypeScript JSX        |        156 |          2 |         12 |        170 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/paypal/static/icon.svg                                                                              | XML                   |          5 |          0 |          0 |          5 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/paypal/static/paypal-logo.svg                                                                       | XML                   |          4 |          0 |          1 |          5 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/paypal/zod.ts                                                                                       | TypeScript            |         28 |          5 |          7 |         40 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/ping/DESCRIPTION.md                                                                                 | Markdown              |          7 |          0 |          2 |          9 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/ping/api/_getAdd.ts                                                                                 | TypeScript            |         20 |          0 |          7 |         27 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/ping/api/add.ts                                                                                     | TypeScript            |          4 |          0 |          2 |          6 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/ping/api/index.ts                                                                                   | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/ping/config.json                                                                                    | JSON                  |         24 |          0 |          1 |         25 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/ping/index.ts                                                                                       | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/ping/package.json                                                                                   | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/ping/static/icon.svg                                                                                | XML                   |          1 |          0 |          0 |          1 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedream/DESCRIPTION.md                                                                            | Markdown              |         21 |          0 |          4 |         25 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedream/api/add.ts                                                                                | TypeScript            |         17 |          0 |          4 |         21 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedream/api/index.ts                                                                              | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedream/config.json                                                                               | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedream/index.ts                                                                                  | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedream/package.json                                                                              | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedream/static/icon.svg                                                                           | XML                   |          4 |          0 |          1 |          5 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/DESCRIPTION.md                                                                        | Markdown              |          5 |          0 |          2 |          7 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/README.md                                                                             | Markdown              |         15 |          0 |          5 |         20 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/api/add.ts                                                                            | TypeScript            |         32 |          1 |          4 |         37 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/api/callback.ts                                                                       | TypeScript            |         15 |          0 |          5 |         20 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/api/index.ts                                                                          | TypeScript            |          2 |          0 |          1 |          3 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/config.json                                                                           | JSON                  |         17 |          0 |          1 |         18 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/index.ts                                                                              | TypeScript            |          2 |          0 |          1 |          3 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/lib/CalendarService.ts                                                                | TypeScript            |        278 |          7 |         29 |        314 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/lib/index.ts                                                                          | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/package.json                                                                          | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/static/icon.svg                                                                       | XML                   |         22 |          1 |          0 |         23 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/pipedrive-crm/zod.ts                                                                                | TypeScript            |          6 |          0 |          3 |          9 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/plausible/DESCRIPTION.md                                                                            | Markdown              |          6 |          0 |          3 |          9 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/plausible/api/add.ts                                                                                | TypeScript            |         13 |          0 |          4 |         17 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/plausible/api/index.ts                                                                              | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/plausible/components/EventTypeAppCardInterface.tsx                                                  | TypeScript JSX        |         45 |          0 |          5 |         50 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/plausible/config.json                                                                               | JSON                  |         27 |          0 |          1 |         28 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/plausible/index.ts                                                                                  | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/plausible/package.json                                                                              | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/plausible/static/icon.svg                                                                           | XML                   |          4 |          1 |          1 |          6 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/plausible/zod.ts                                                                                    | TypeScript            |          9 |          0 |          4 |         13 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/qr_code/DESCRIPTION.md                                                                              | Markdown              |          4 |          0 |          2 |          6 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/qr_code/api/add.ts                                                                                  | TypeScript            |         13 |          0 |          4 |         17 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/qr_code/api/index.ts                                                                                | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/qr_code/components/EventTypeAppCardInterface.tsx                                                    | TypeScript JSX        |         60 |          0 |          9 |         69 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/qr_code/config.json                                                                                 | JSON                  |         15 |          0 |          1 |         16 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/qr_code/index.ts                                                                                    | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/qr_code/package.json                                                                                | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/qr_code/static/icon.svg                                                                             | XML                   |        244 |          0 |          0 |        244 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/qr_code/zod.ts                                                                                      | TypeScript            |          4 |          0 |          4 |          8 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/raycast/DESCRIPTION.md                                                                              | Markdown              |          8 |          0 |          2 |         10 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/raycast/api/add.ts                                                                                  | TypeScript            |         16 |          0 |          4 |         20 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/raycast/api/index.ts                                                                                | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/raycast/config.json                                                                                 | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/raycast/index.ts                                                                                    | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/raycast/package.json                                                                                | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/raycast/static/icon.svg                                                                             | XML                   |          3 |          0 |          1 |          4 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/riverside/DESCRIPTION.md                                                                            | Markdown              |          5 |          0 |          2 |          7 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/riverside/api/_getAdd.ts                                                                            | TypeScript            |         20 |          0 |          7 |         27 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/riverside/api/add.ts                                                                                | TypeScript            |          4 |          0 |          2 |          6 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/riverside/api/index.ts                                                                              | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/riverside/config.json                                                                               | JSON                  |         22 |          0 |          1 |         23 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/riverside/index.ts                                                                                  | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/riverside/package.json                                                                              | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/riverside/static/icon-dark.svg                                                                      | XML                   |          1 |          0 |          0 |          1 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/roam/DESCRIPTION.md                                                                                 | Markdown              |         12 |          0 |          4 |         16 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/roam/api/add.ts                                                                                     | TypeScript            |         13 |          0 |          4 |         17 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/roam/api/index.ts                                                                                   | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/roam/config.json                                                                                    | JSON                  |         25 |          0 |          1 |         26 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/roam/index.ts                                                                                       | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/roam/package.json                                                                                   | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/roam/static/icon-dark.svg                                                                           | XML                   |          5 |          0 |          1 |          6 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/DESCRIPTION.md                                                                        | Markdown              |          7 |          0 |          2 |          9 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/README.md                                                                             | Markdown              |          4 |          0 |          4 |          8 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/api/add.ts                                                                            | TypeScript            |         24 |          0 |          4 |         28 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/api/index.ts                                                                          | TypeScript            |          2 |          0 |          1 |          3 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/api/responses/[formId].ts                                                             | TypeScript            |        104 |          4 |         15 |        123 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/components/FormActions.tsx                                                            | TypeScript JSX        |        488 |          6 |         28 |        522 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/components/FormInputFields.tsx                                                        | TypeScript JSX        |         66 |          4 |          7 |         77 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/components/RoutingNavBar.tsx                                                          | TypeScript JSX        |         31 |          0 |          3 |         34 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/components/SingleForm.tsx                                                             | TypeScript JSX        |        503 |         13 |         30 |        546 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/components/getServerSidePropsSingleForm.ts                                            | TypeScript            |         70 |          0 |          7 |         77 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/components/react-awesome-query-builder/config/config.tsx                              | TypeScript JSX        |        131 |         10 |         16 |        157 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/components/react-awesome-query-builder/styles.css                                     | PostCSS               |        103 |          8 |         18 |        129 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/components/react-awesome-query-builder/widgets.tsx                                    | TypeScript JSX        |        325 |          9 |         30 |        364 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/config.json                                                                           | JSON                  |         21 |          0 |          1 |         22 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/emails/components/ResponseEmail.tsx                                                   | TypeScript JSX        |         50 |          0 |          4 |         54 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/emails/components/index.tsx                                                           | TypeScript JSX        |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/emails/templates/response-email.ts                                                    | TypeScript            |         38 |          0 |          5 |         43 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/enrichFormWithMigrationData.ts                                                        | TypeScript            |         55 |          0 |          3 |         58 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/env.d.ts                                                                              | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/getEventTypeRedirectUrl.ts                                                            | TypeScript            |         49 |         32 |          8 |         89 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/index.ts                                                                              | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/jsonLogicToPrisma.ts                                                                  | TypeScript            |        193 |         15 |         21 |        229 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/InitialConfig.tsx                                                                 | TypeScript JSX        |          2 |          0 |          2 |          4 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/RoutingPages.ts                                                                   | TypeScript            |         15 |          0 |          2 |         17 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/createFallbackRoute.ts                                                            | TypeScript            |         14 |          0 |          3 |         17 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/getConnectedForms.ts                                                              | TypeScript            |         19 |          0 |          2 |         21 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/getFieldIdentifier.ts                                                             | TypeScript            |          3 |          0 |          3 |          6 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/getQueryBuilderConfig.ts                                                          | TypeScript            |         59 |          4 |          7 |         70 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/getSerializableForm.ts                                                            | TypeScript            |        114 |         10 |         18 |        142 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/isFallbackRoute.ts                                                                | TypeScript            |          9 |          0 |          3 |         12 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/isFormCreateEditAllowed.ts                                                        | TypeScript            |         34 |          3 |          5 |         42 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/isRouter.ts                                                                       | TypeScript            |         10 |          0 |          3 |         13 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/isRouterLinkedField.ts                                                            | TypeScript            |         10 |          0 |          3 |         13 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/jsonLogicOverrides.ts                                                             | TypeScript            |         34 |         12 |          8 |         54 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/processRoute.tsx                                                                  | TypeScript JSX        |         62 |          7 |         13 |         82 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/substituteVariables.ts                                                            | TypeScript            |         21 |          0 |          6 |         27 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/lib/transformResponse.ts                                                              | TypeScript            |         28 |          1 |          2 |         31 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/package.json                                                                          | JSON                  |         18 |          0 |          1 |         19 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/app-routing.config.tsx                                                          | TypeScript JSX        |         30 |          2 |          5 |         37 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/form-edit/[...appPages].tsx                                                     | TypeScript JSX        |        431 |         14 |         28 |        473 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/forms/[...appPages].tsx                                                         | TypeScript JSX        |        353 |          2 |         22 |        377 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/forms/getServerSideProps.ts                                                     | TypeScript            |         33 |          1 |          4 |         38 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/layout-handler/[...appPages].tsx                                                | TypeScript JSX        |         49 |          1 |         11 |         61 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/reporting/[...appPages].tsx                                                     | TypeScript JSX        |        191 |          1 |         17 |        209 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/route-builder/[...appPages].tsx                                                 | TypeScript JSX        |        594 |         18 |         48 |        660 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/router/[...appPages].tsx                                                        | TypeScript JSX        |         21 |          0 |          6 |         27 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/router/getServerSideProps.ts                                                    | TypeScript            |        159 |          2 |         19 |        180 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/routing-link/[...appPages].tsx                                                  | TypeScript JSX        |        214 |         20 |         31 |        265 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/pages/routing-link/getServerSideProps.ts                                              | TypeScript            |        111 |          4 |         10 |        125 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/playwright/tests/basic.e2e.ts                                                         | TypeScript            |        400 |         35 |         82 |        517 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/playwright/tests/testUtils.ts                                                         | TypeScript            |         73 |          2 |          9 |         84 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/static/icon-dark.svg                                                                  | XML                   |          3 |          0 |          0 |          3 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/test/lib/jsonLogicToPrisma.test.ts                                                    | TypeScript            |        283 |          5 |         22 |        310 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc-router.ts                                                                        | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/_router.ts                                                                       | TypeScript            |         52 |         13 |          9 |         74 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/deleteForm.handler.ts                                                            | TypeScript            |         48 |          0 |          8 |         56 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/deleteForm.schema.ts                                                             | TypeScript            |          5 |          0 |          3 |          8 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/formMutation.handler.ts                                                          | TypeScript            |        313 |         27 |         31 |        371 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/formMutation.schema.ts                                                           | TypeScript            |         17 |          0 |          5 |         22 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/formQuery.handler.ts                                                             | TypeScript            |         38 |          0 |          7 |         45 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/formQuery.schema.ts                                                              | TypeScript            |          5 |          0 |          3 |          8 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/forms.handler.ts                                                                 | TypeScript            |        134 |          1 |         14 |        149 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/forms.schema.ts                                                                  | TypeScript            |          9 |          0 |          5 |         14 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/procedures/forms.ts                                                              | TypeScript            |          6 |          0 |          3 |          9 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/report.handler.ts                                                                | TypeScript            |         73 |          3 |          6 |         82 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/report.schema.ts                                                                 | TypeScript            |          9 |          0 |          3 |         12 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/response.handler.ts                                                              | TypeScript            |         97 |          2 |         12 |        111 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/response.schema.ts                                                               | TypeScript            |         12 |          0 |          3 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/trpc/utils.ts                                                                         | TypeScript            |         84 |          4 |         12 |        100 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/types/types.d.ts                                                                      | TypeScript            |         39 |          1 |         10 |         50 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/routing-forms/zod.ts                                                                                | TypeScript            |         61 |          9 |         16 |         86 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/DESCRIPTION.md                                                                           | Markdown              |         11 |          0 |          3 |         14 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/api/add.ts                                                                               | TypeScript            |         21 |          0 |          8 |         29 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/api/callback.ts                                                                          | TypeScript            |         40 |          0 |         12 |         52 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/api/index.ts                                                                             | TypeScript            |          2 |          0 |          1 |          3 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/config.json                                                                              | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/index.ts                                                                                 | TypeScript            |          2 |          0 |          1 |          3 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/lib/CalendarService.ts                                                                   | TypeScript            |        282 |         10 |         31 |        323 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/lib/index.ts                                                                             | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/package.json                                                                             | JSON                  |         16 |          0 |          1 |         17 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesforce/zod.ts                                                                                   | TypeScript            |          6 |          0 |          3 |          9 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesroom/DESCRIPTION.md                                                                            | Markdown              |         25 |          0 |         11 |         36 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesroom/api/add.ts                                                                                | TypeScript            |         13 |          0 |          4 |         17 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesroom/api/index.ts                                                                              | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesroom/config.json                                                                               | JSON                  |         25 |          0 |          1 |         26 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesroom/index.ts                                                                                  | TypeScript            |          1 |          0 |          1 |          2 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesroom/package.json                                                                              | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/salesroom/static/icon.svg                                                                           | XML                   |         10 |          0 |          1 |         11 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/sendgrid/DESCRIPTION.md                                                                             | Markdown              |          8 |          0 |          4 |         12 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/sendgrid/api/_getAdd.ts                                                                             | TypeScript            |         10 |          0 |          5 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/sendgrid/api/_postAdd.ts                                                                            | TypeScript            |         36 |          0 |         10 |         46 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/sendgrid/api/add.ts                                                                                 | TypeScript            |          5 |          0 |          2 |          7 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/sendgrid/api/check.ts                                                                               | TypeScript            |         24 |          0 |          8 |         32 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/sendgrid/api/index.ts                                                                               | TypeScript            |          2 |          0 |          1 |          3 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/sendgrid/config.json                                                                                | JSON                  |         14 |          0 |          1 |         15 |
| /Users/stmoerman/Developer/Business/Bakklog/cal.com/packages/app-store/sendgrid/index.ts                                                                                   | TypeScript            |          2 |          0 |          1 |          3 |
